Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
CRSR,31.63,5/21/21,16:00 EDT,-0.30000114,32.2423,32.4204,31.56,543092,,40.6,71,,,,
AMD,77.17,5/21/21,16:00 EDT,-0.8899994,78.55,78.81,77.04,39300729,20200810,81,13,,,,
AMZN,3203.08,5/21/21,16:00 EDT,-44.599854,3250,3256.3,3197.01,3833494,,985.95,1,,,,
APPS,61.87,5/21/21,16:00 EDT,-0.7400017,64.24,64.4,61.81,1889628,,32.92,48,,,,
ICLN,22.58,5/21/21,16:00 EDT,0.049999237,22.7,22.71,22.525,3239567,,33.15,80,,,,
JPM,162.66,5/21/21,16:00 EDT,1.83,161.34,163.223,160.94,9672269,,108.35,14,,,,
MSFT,245.17,5/21/21,16:00 EDT,-1.3099976,247.565,248.33,244.74,20646530,,210,5,,,,
NET,74.8,5/21/21,16:00 EDT,0.300003,75.12,75.78,73.39,2827087,,38.33,75,,,,
QQQ,327.01,5/21/21,16:00 EDT,-1.8199768,330.43,330.855,326.645,49094441,,151.96,4,,,,
SQ,200.01,5/21/21,16:00 EDT,-4.90001,207,208.9,199.6301,8854227,,136.6,15,,,,
TSLA,580.88,5/21/21,16:00 EDT,-5.9000244,596.11,596.68,580,25485818,20181218,68.5,10,,,,
